"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L13393","modules","util.dependencyinjection.modules","L13392","L103","0.773229","1","1","1","0","0","0","0","0","0.358824","61","0","3","0","0.358824","61","0","3","109","188","0","63","0","0","0","3","0","0","0","0","109","188","0","63","14","0","3","0","0","3","75","0","3","0","0","0","0","0","0","0","509","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"L379","core","femr.business.services.core","L378","L103","0","0","0","0","0","0","0","0","0.885965","0.82793","996","101","13","0.885965","0.82793","996","101","13","207","1365","0","0","0","0","15","99","0","0","99","2","207","1365","0","0","15","0","15","0","15","99","0","0","0","0","15","0","99","2","0","0","18","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0"
"L1056","system","femr.business.services.system","L378","L103","0.168557","28","152","64","0","0","0","0","0.736434","0.202182","1038","95","34","0.736434","0.202182","1038","95","34","4096","6449","85","15","0","3","0","136","0","0","114","2","4096","6449","85","15","15","0","15","3","0","136","2257","0","15","0","0","0","114","2","0","7","715","154","123","0","6","70","0","0","0","0","0","35","3","0","0","0","0","0","4","0","0","0","0","0","0","5","0","0","98","24","29","13","0"
"L3176","sessions","femr.business.wrappers.sessions","L3175","L103","0","0","0","0","0","0","0","0","0","0.62069","36","0","8","0","0.62069","36","0","8","22","66","0","1","0","2","1","6","0","0","6","0","22","66","0","1","15","0","2","2","1","6","3","0","1","0","1","0","6","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4517","core","femr.data.daos.core","L4513","L103","0","0","0","0","0","0","0","0","1","0.76","38","8","0","1","0.76","38","8","0","12","61","0","0","0","0","1","7","0","0","7","0","12","61","0","0","15","0","1","0","1","7","0","0","0","0","1","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L4589","system","femr.data.daos.system","L4513","L103","0","0","0","0","0","0","0","0","0.777778","0.152866","24","7","2","0.777778","0.152866","24","7","2","133","183","1","1","0","0","0","8","0","0","8","0","133","183","1","1","15","0","1","0","0","8","57","0","1","0","0","0","8","0","0","0","19","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","6","1","1","0","0"
"L5135","core","femr.data.models.core","L5134","L103","0","0","0","0","0","0","0","0","0.0580111","0.571834","605","21","341","0.0522388","0.558849","641","21","381","453","1446","0","0","0","170","32","330","0","1","330","154","506","1579","0","0","16","0","34","190","34","368","0","0","0","0","34","1","368","172","0","0","846","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","2","0","0"
"L5519","mysql","femr.data.models.mysql","L5134","L103","0","0","0","0","0","0","0","0","0.00297619","0.201695","476","1","335","0.00465116","0.210441","649","2","428","1884","2794","166","29","0","157","0","307","6","2","307","144","2435","3654","211","38","17","0","38","202","0","392","405","6","38","0","0","2","392","183","0","0","974","2","61","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","2","0","0","32","0","0"
"L6623","admin","femr.ui.controllers.admin","L6608","L103","0.100171","4","15","8","0","0","0","0","0.3125","0.173442","128","10","22","0.3125","0.173442","128","10","22","610","921","21","5","0","0","0","29","0","0","27","0","610","921","21","5","15","0","5","0","0","29","299","0","5","0","0","0","27","0","0","0","133","27","25","0","0","6","0","0","0","0","0","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","8","2","0"
"L6965","helpers","femr.ui.controllers.helpers","L6608","L103","0.387755","2","15","5","0.337423","0.376238","55","38","0.833333","0.136752","16","5","1","0.833333","0.136752","16","5","1","101","163","0","2","0","0","0","6","0","0","6","0","101","163","0","2","15","0","1","0","0","6","62","0","1","0","0","0","6","0","0","0","42","3","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0"
"L7756","superuser","femr.ui.controllers.superuser","L6608","L103","0.0460653","1","3","1","0","0","0","0","0.222222","0.164103","32","2","7","0.222222","0.164103","32","2","7","163","230","5","2","0","0","0","7","0","0","7","0","163","230","5","2","15","0","2","0","0","7","84","0","2","0","0","0","7","0","0","0","32","11","6","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0"
"L7986","security","femr.ui.helpers.security","L7985","L103","0","0","0","0","0","0","0","0","0","0.0337079","3","0","7","0","0.0337079","3","0","7","86","116","1","2","0","1","0","6","0","0","4","0","86","116","1","2","15","0","3","1","0","6","32","0","2","0","0","0","4","0","0","0","21","0","3","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8040","admin","femr.ui.models.admin","L8039","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.222695","157","0","141","0","0","0","0","0","0","0","0","0","4","0","0","548","881","61","12","19","0","12","63","0","129","162","0","12","0","0","4","129","62","0","0","313","2","17","0","0","12","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0"
"L8342","history","femr.ui.models.history","L8039","L103","0","0","0","0","0","0","0","0","0.0434783","0.379562","104","2","44","0.0434783","0.379562","104","2","44","170","335","20","5","0","20","0","41","0","0","41","20","170","335","20","5","15","0","5","20","0","41","41","0","5","0","0","0","41","20","0","0","101","0","6","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0"
"L8445","medical","femr.ui.models.medical","L8039","L103","0","0","0","0","0","0","0","0","0","0.224638","62","0","60","0","0.224638","62","0","60","214","342","28","3","0","29","0","57","0","0","57","28","214","342","28","3","15","0","3","29","0","57","60","0","3","0","0","0","57","28","0","1","138","0","3","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"L8577","pharmacy","femr.ui.models.pharmacy","L8039","L103","0","0","0","0","0","0","0","0","0.0555556","0.422018","46","1","17","0.0555556","0.422018","46","1","17","63","140","8","2","0","8","0","16","0","0","16","8","63","140","8","2","15","0","2","8","0","16","16","0","2","0","0","0","16","8","0","0","35","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"L8617","research","femr.ui.models.research","L8039","L103","0","0","0","0","0","0","0","0","0.04","0.523077","68","1","24","0.0338983","0.368421","105","2","57","62","156","13","1","0","11","0","24","0","1","24","12","180","359","28","3","16","0","3","24","0","56","62","0","3","0","0","1","56","25","0","0","130","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0"
"L8736","search","femr.ui.models.search","L8039","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.162791","7","1","9","0","0","0","0","0","0","0","0","0","1","0","0","36","50","8","2","16","0","2","0","0","8","8","0","2","0","0","1","8","8","0","0","20","0","8","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8771","sessions","femr.ui.models.sessions","L8039","L103","0","0","0","0","0","0","0","0","0","0.38","19","0","9","0","0.38","19","0","9","31","60","4","1","0","4","0","8","0","0","8","4","31","60","4","1","15","0","1","4","0","8","8","0","1","0","0","0","8","4","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8792","superuser","femr.ui.models.superuser","L8039","L103","0","0","0","0","0","0","0","0","0","0.347826","72","0","38","0","0.347826","72","0","38","135","253","17","4","0","17","0","34","0","0","34","17","135","253","17","4","15","0","4","17","0","34","34","0","4","0","0","0","34","17","0","0","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8868","triage","femr.ui.models.triage","L8039","L103","0","0","0","0","0","0","0","0","0.0769231","0.208333","60","5","60","0.0769231","0.208333","60","5","60","228","368","32","4","0","29","0","61","2","0","61","30","228","368","32","4","15","0","4","29","0","61","61","2","4","0","0","0","61","30","0","0","150","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0"
"L9021","partials","femr.ui.views.partials","L9020","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","38","51","0","1","16","0","1","0","0","4","16","0","1","0","0","1","4","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9170","Mapping","femr.util.DataStructure.Mapping","L9167","L103","0","0","0","0","0","0","0","0","0.947368","0.543353","188","18","1","0.947368","0.543353","188","18","1","158","401","5","3","0","9","0","16","0","0","16","1","158","401","5","3","15","0","3","9","0","16","74","0","3","0","0","0","16","1","0","0","5","2","9","0","3","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0"
"L9295","modules","femr.util.dependencyinjection.modules","L9294","L103","0.650985","1","1","1","0","0","0","0","0","0.363208","77","0","4","0","0.363208","77","0","4","135","233","0","72","0","0","0","4","0","0","0","0","135","233","0","72","15","0","4","0","0","4","87","0","4","0","0","0","0","0","0","0","539","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"L9632","providers","femr.util.dependencyinjection.providers","L9294","L103","0","0","0","0","0","0","0","0","0.0882353","0.631579","576","6","62","0.0882353","0.631579","576","6","62","336","1024","0","34","0","0","0","34","0","0","34","0","336","1024","0","34","15","0","34","0","0","34","34","0","34","0","0","0","34","0","0","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13328","daos","mock.femr.data.daos","L13327","L103","0","0","0","0","0","0","0","0","0","0.0645161","4","0","11","0","0.0645161","4","0","11","58","83","6","1","0","0","0","10","6","0","10","0","58","83","6","1","15","0","1","0","0","10","15","6","1","0","0","0","10","0","0","0","29","0","6","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L13369","encryptions","mock.femr.util.encryptions","L13368","L103","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","4","23","30","4","1","0","0","0","3","4","0","3","0","23","30","4","1","15","0","1","0","0","3","6","4","1","0","0","0","3","0","0","0","14","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"L5464","research","femr.data.models.core.research","L5135","L103","0","0","0","0","0","0","0","0","0","0.404494","36","0","40","0","0.404494","36","0","40","53","133","0","0","0","20","2","38","0","0","38","18","53","133","0","0","16","0","2","20","2","38","0","0","0","0","2","0","38","18","0","0","91","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"L5568","concepts","femr.data.models.mysql.concepts","L5519","L103","0","0","0","0","0","0","0","0","0.0185185","0.290541","129","1","53","0.0185185","0.290541","129","1","53","315","521","25","7","0","25","0","47","0","0","47","21","315","521","25","7","16","0","7","25","0","47","46","0","7","0","0","0","47","21","0","0","114","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0"
"L6263","research","femr.data.models.mysql.research","L5519","L103","0","0","0","0","0","0","0","0","0","0.157143","44","0","40","0","0.157143","44","0","40","236","339","20","2","0","20","0","38","0","0","38","18","236","339","20","2","16","0","2","20","0","38","42","0","2","0","0","0","38","18","0","0","95","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0"
"L8041","configure","femr.ui.models.admin.configure","L8040","L103","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","8","29","41","2","2","0","2","0","6","0","0","6","3","29","41","2","2","16","0","2","2","0","6","6","0","2","0","0","0","6","3","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8065","inventory","femr.ui.models.admin.inventory","L8040","L103","0","0","0","0","0","0","0","0","0","0.337423","55","0","27","0","0.337423","55","0","27","108","202","12","2","0","12","0","25","0","0","25","12","108","202","12","2","16","0","2","12","0","25","32","0","2","0","0","0","25","12","0","0","57","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8125","trips","femr.ui.models.admin.trips","L8040","L103","0","0","0","0","0","0","0","0","0","0.193237","40","0","46","0","0.193237","40","0","46","167","268","21","4","0","21","0","42","0","0","42","21","167","268","21","4","16","0","4","21","0","42","42","0","4","0","0","0","42","21","0","0","104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8220","users","femr.ui.models.admin.users","L8040","L103","0","0","0","0","0","0","0","0","0","0.202614","62","0","60","0","0.202614","62","0","60","244","370","26","4","0","28","0","56","0","0","56","26","244","370","26","4","16","0","4","28","0","56","82","0","4","0","0","0","56","26","0","0","134","2","15","0","0","10","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0"
"L8668","json","femr.ui.models.research.json","L8617","L103","0","0","0","0","0","0","0","0","0.0294118","0.23871","37","1","33","0.0294118","0.23871","37","1","33","118","203","15","2","0","13","0","32","0","0","32","13","118","203","15","2","16","0","2","13","0","32","38","0","2","0","0","0","32","13","0","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8737","json","femr.ui.models.search.json","L8736","L103","0","0","0","0","0","0","0","0","0.1","0.162791","7","1","9","0.1","0.162791","7","1","9","36","50","8","2","0","0","0","8","0","0","8","8","36","50","8","2","16","0","2","0","0","8","8","0","2","0","0","0","8","8","0","0","20","0","8","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9022","helpers","femr.ui.views.partials.helpers","L9021","L103","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","38","51","0","1","0","0","0","4","0","0","4","0","38","51","0","1","16","0","1","0","0","4","16","0","1","0","0","0","4","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
